"","CLDN18","cMET","HER2","EGFR","TROP2"
"TCGA-BR-6801",-1.03888719236362,6.55506960802563,6.57575637972577,4.83520785830468,8.79472953852322
"TCGA-BR-8289",10.6045778366652,4.6424854058664,7.94628725360473,3.56854288279479,7.03034963014998
"TCGA-VQ-A91Y",9.39149444273269,5.835099626242,6.24254882652587,5.12145687853932,8.45086014395403
"TCGA-HU-8244",7.37242692016334,5.23207011644699,6.79401784999145,4.75081815968757,8.66750117180016
"TCGA-VQ-A8PE",5.83411427065636,6.48164260320516,6.65432780616182,5.45838524849937,6.63445235976115
"TCGA-D7-8579",8.2311672239449,6.11390170818078,8.43358333217325,6.04865651948337,7.40322491267912
"TCGA-D7-A6F0",3.51691634784171,4.95716279607925,7.74940369916677,4.83883148938116,2.08040501155075
"TCGA-BR-4357",4.64284127876857,5.65611036250036,9.65149700101704,3.91528845134701,7.69560456924004
"TCGA-BR-8485",7.52146498927278,6.30632890105267,6.57552033200456,4.73586062429156,5.59703710658725
"TCGA-D7-6527",10.1647815959397,4.65354002753958,6.19487383813982,3.77075581149025,6.01808264354658
"TCGA-HF-7134",8.23889807846881,5.77858718017012,6.49959040029197,5.42929718611407,4.72651909644835
"TCGA-IN-7806",5.83245553881227,6.42722165705561,7.51486255247385,5.7834193185004,8.34436413558937
"TCGA-HU-A4G3",10.3920814374731,5.79423988646402,6.85892619581461,4.82300009098832,7.94312335187159
"TCGA-BR-8077",6.96759492737237,5.20707387591532,6.58840304375915,4.0602549677774,6.78283975326092
"TCGA-D7-A74A",10.6565481331092,6.86442764471086,6.37806787089626,4.44170814768064,8.73794975392488
"TCGA-VQ-AA6F",11.921768028332,6.69618237973458,6.17576562780562,5.5659601811081,6.8567206093027
"TCGA-BR-8361",6.97441991416975,5.85850402156545,6.19312128912485,5.96654288400839,7.02569212064752
"TCGA-BR-4256",9.02902970049512,7.18641254304107,5.15736349008556,4.7049969212609,7.54568029610641
"TCGA-VQ-A91N",8.30338011398041,6.55914869071727,6.23492185968693,6.57405191392529,8.16899836247106
"TCGA-BR-8679",10.3651552988843,7.17883626228205,6.48070279598191,4.93314223299536,8.61308883222648
"TCGA-VQ-AA6A",12.3467357433192,8.09111652394336,7.30814861184393,6.52382210699691,9.57031617342915
"TCGA-BR-7957",4.85069765517577,5.71156267708283,6.44177258472897,5.39120887160542,5.14111379723197
"TCGA-VQ-A94T",0.724225803026499,6.74611592135,6.18241080084385,3.88287256115773,8.73416196871654
"TCGA-CD-5804",9.86217802167286,4.20436164700381,10.7162551109822,3.47718293419569,8.41585905243619
"TCGA-VQ-AA64",5.4292799298017,5.36419347712091,6.8685320066331,4.78042957084561,8.16878321886503
"TCGA-CG-4437",8.48930540009754,5.56440632482192,6.36985198422662,4.95893003673603,4.71114149036212
"TCGA-BR-4279",9.61212028697242,5.06686630490507,4.44402294468865,4.40106735089442,7.20371124589803
"TCGA-VQ-A91Q",8.7362446689103,5.44162462791683,7.26230921967118,5.13122562126314,9.27752830756245
"TCGA-BR-8682",5.85742415369368,6.9903250507428,8.04821276868746,6.08553008219135,7.24458928323972
"TCGA-BR-8687",10.7439020622126,4.69592666456735,6.48731013637523,4.61821444367356,6.82804643525885
"TCGA-D7-5577",10.3261329305793,5.57900624444363,6.49393366337873,2.55216842114951,9.10127389383896
"TCGA-IN-A7NR",8.82850560662357,6.93483858506258,6.80337585172411,6.34724769598825,10.796764704843
"TCGA-BR-8381",8.85989358450086,4.73004469640719,6.34533683408244,2.99184505797457,7.59630219866621
"TCGA-BR-6564",7.01241962695095,4.08605797252757,5.93339316570782,4.9739469935044,6.81201527237251
"TCGA-FP-8210",7.52091422955985,5.85520193859409,6.00975466793899,5.28476274681071,7.40107378595143
"TCGA-CG-4469",8.07931730617736,7.75078477035903,6.81094623462527,5.43994614063088,8.18261300486164
"TCGA-VQ-AA69",5.92878617418897,2.39063413758089,7.75479319783884,4.32804453219061,9.84143577766725
