"","TROP2","CLDN18","HER2","cMET","EGFR"
"TCGA-3A-A9IV-01A-11R-A41B-07",1.73279489629115,-2.32192809488736,3.43293667619924,4.71249228551528,3.33984840151739
"TCGA-FB-AAPS-01A-12R-A39D-07",8.195817873405,6.83611206592204,5.7835227596646,4.36357124213687,3.37249882878439
"TCGA-S4-A8RO-01A-12R-A37L-07",9.28069797063761,11.1967123182131,6.51939395580962,6.17946538283416,4.00650932213428
"TCGA-HV-A7OL-01A-11R-A33R-07",10.3979801762121,9.00673366646864,6.66259078904143,5.53614173116899,2.47233709085747
"TCGA-3A-A9IX-01A-11R-A41B-07",8.56625991562717,5.66400403546464,5.98189518819665,5.8335120601885,4.75561305479199
"TCGA-HV-A5A6-01A-11R-A26U-07",10.2608557758209,5.05179502255551,6.99380691588178,6.31562431642582,4.72270843543874
"TCGA-IB-AAUP-01A-11R-A37L-07",8.98465700549367,4.35760073545265,5.77535507971285,5.56919122505755,4.38594744797039
"TCGA-HZ-8002-01A-11R-2204-07",7.53602594376126,4.10730174487209,6.17567144681111,6.23743298919377,5.53579272928727
"TCGA-HZ-7926-01A-11R-2156-07",9.41518760441801,5.61814526476913,5.96570223300564,8.26647232377005,6.69426706799225
"TCGA-2J-AABR-01A-11R-A41B-07",9.60740771472859,1.73436197304071,6.40640963452988,6.21580350476913,5.19282096948594
"TCGA-XN-A8T3-01A-11R-A36G-07",9.7387530384338,0.183410511507193,6.26781133589977,5.37212937430762,4.45132369094888
"TCGA-IB-7652-01A-11R-2156-07",9.38625100351284,8.34940890545232,6.00316089204598,6.60736884192275,5.56881730527369
"TCGA-3A-A9J0-01A-11R-A41B-07",9.67399355892104,9.36430722841413,11.9369114145844,5.71794520916557,4.45039375349819
"TCGA-2J-AABP-01A-11R-A41B-07",1.05292640503177,-1.09306713911424,4.30341897101914,3.88050904142913,4.48717212192707
"TCGA-FB-AAPU-01A-31R-A41B-07",9.08771120145815,11.0662869256219,7.15795794016229,6.71848503452157,4.15345996483035
"TCGA-F2-6880-01A-11R-2156-07",5.29136246171683,-2.32192809488736,3.51643321455221,1.98733373546526,2.0721018493454
"TCGA-3A-A9IB-01A-21R-A39D-07",9.34402071273264,4.1404267503852,6.55131508698464,8.47869846368794,4.68787015557125
"TCGA-IB-AAUR-01A-21R-A38C-07",8.44252214290765,6.47961698020832,5.3085640441443,4.823507871109,4.24643111769495
"TCGA-HZ-7289-01A-11R-2156-07",8.86710904975082,7.66944886675781,6.02471328723867,7.08717823413598,4.73460099649414
"TCGA-3A-A9I7-01A-21R-A38C-07",8.63917201580963,4.27224777563085,6.43343089714768,6.57999645235222,4.43115641512758
"TCGA-US-A77J-01A-11R-A32O-07",7.86780076554532,1.77378291701212,5.5301289806113,4.56784804728398,3.95835034180304
"TCGA-FB-A4P6-01A-12R-A26U-07",8.74791352203516,4.78596252994824,7.12323789395439,6.46611773107676,5.59619910357186
"TCGA-US-A77E-01A-11R-A32O-07",10.0523120015527,9.21150760922233,7.33209105132578,6.8449392951595,4.62946786951083
"TCGA-US-A774-01A-21R-A32O-07",8.77352861496812,6.60515523345259,6.50126775194909,5.9272629338363,4.67383646791064
"TCGA-FB-A4P5-01A-11R-A26U-07",8.23665744306704,6.48768162303675,5.73252003499886,5.18807749820462,4.18424772538925
"TCGA-3A-A9IJ-01A-11R-A39D-07",0.0265732955291641,-2.32192809488736,3.52133812475168,1.55860055826028,-1.70634645672485
"TCGA-IB-A5ST-01A-11R-A32O-07",8.31948104349376,3.56216652411286,5.87419468642085,5.4381397562067,4.23631652781551
"TCGA-F2-A44G-01A-11R-A26U-07",9.84729523768111,10.2801043127484,6.85939301142043,7.02406230427676,4.33969994868106
"TCGA-F2-A7TX-01A-33R-A38C-07",9.49951457381253,-2.26144350507357,6.17102334372087,7.3927235372841,5.18400294367249
